Retailer,RetailerID,InvoiceDate,Region,State,City,Product,PricePerUnit,UnitsSold,TotalSales,OperatingProfit,OperatingMargin,SalesMethod
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,925,"$462,500 ","$161,875 ",Operating Margin,Outlet
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ","$157,500 ",Operating Margin,Outlet
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",Operating Margin,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,050","$682,500 ","$170,625 ",Operating Margin,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,275","$765,000 ","$382,500 ",Operating Margin,Outlet
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,025","$563,750 ","$169,125 ",Operating Margin,Outlet
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,950,"$475,000 ","$166,250 ",Operating Margin,Outlet
Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ","$157,500 ",Operating Margin,Outlet
Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,925,"$555,000 ","$166,500 ",Operating Margin,Outlet
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,100","$715,000 ","$178,750 ",Operating Margin,Outlet
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,250","$750,000 ","$375,000 ",Operating Margin,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,025","$563,750 ","$169,125 ",Operating Margin,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,950,"$475,000 ","$166,250 ",Operating Margin,Outlet
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,925,"$462,500 ","$161,875 ",Operating Margin,Outlet
Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",Operating Margin,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,075","$698,750 ","$174,688 ",Operating Margin,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,200","$720,000 ","$360,000 ",Operating Margin,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ","$165,000 ",Operating Margin,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,925,"$462,500 ","$161,875 ",Operating Margin,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ","$157,500 ",Operating Margin,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",Operating Margin,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,000","$650,000 ","$162,500 ",Operating Margin,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,$65.00 ,875,"$568,750 ","$170,625 ",Operating Margin,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,$70.00 ,"1,000","$700,000 ","$175,000 ",Operating Margin,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,$65.00 ,"1,150","$747,500 ","$373,750 ",Operating Margin,Outlet
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,975,"$536,250 ","$160,875 ",Operating Margin,Outlet
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,$55.00 ,920,"$506,000 ","$177,100 ",Operating Margin,Outlet
Walmart,1185732,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,$55.00 ,900,"$495,000 ","$173,250 ",Operating Margin,Outlet
Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,$65.00 ,875,"$568,750 ","$170,625 ",Operating Margin,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,$70.00 ,975,"$682,500 ","$170,625 ",Operating Margin,Outlet
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,$65.00 ,"1,200","$780,000 ","$390,000 ",Operating Margin,Outlet
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ","$165,000 ",Operating Margin,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,$55.00 ,950,"$522,500 ","$182,875 ",Operating Margin,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,$55.00 ,900,"$495,000 ","$173,250 ",Operating Margin,Outlet
Walmart,1185732,5/7/2020,Northeast,New York,New York,Men's Apparel,$65.00 ,900,"$585,000 ","$175,500 ",Operating Margin,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,$70.00 ,"1,000","$700,000 ","$175,000 ",Operating Margin,Outlet
Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Men's Street Footwear,$25.00 ,900,"$225,000 ","$78,750 ",Operating Margin,Outlet
Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,900,"$315,000 ","$110,250 ",Operating Margin,Outlet
Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,$35.00 ,700,"$245,000 ","$85,750 ",Operating Margin,Outlet
Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$35.00 ,700,"$245,000 ","$110,250 ",Operating Margin,Outlet
Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,$40.00 ,550,"$220,000 ","$66,000 ",Operating Margin,Outlet
Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,$35.00 ,700,"$245,000 ","$122,500 ",Operating Margin,Outlet
Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,$25.00 ,850,"$212,500 ","$74,375 ",Operating Margin,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,$35.00 ,850,"$297,500 ","$104,125 ",Operating Margin,Outlet
Sports Direct,1197831,7/27/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,675,"$236,250 ","$82,688 ",Operating Margin,Outlet
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,$35.00 ,625,"$218,750 ","$98,438 ",Operating Margin,Outlet
Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,$40.00 ,500,"$200,000 ","$60,000 ",Operating Margin,Outlet
Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,$35.00 ,700,"$245,000 ","$122,500 ",Operating Margin,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,$30.00 ,875,"$262,500 ","$91,875 ",Operating Margin,Outlet
Sports Direct,1197831,8/1/2020,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,875,"$350,000 ","$122,500 ",Operating Margin,Outlet
Sports Direct,1197831,8/2/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,700,"$245,000 ","$85,750 ",Operating Margin,Outlet
Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,600,"$240,000 ","$108,000 ",Operating Margin,Outlet
Sports Direct,1197831,8/4/2020,South,Texas,Houston,Men's Apparel,$45.00 ,500,"$225,000 ","$67,500 ",Operating Margin,Outlet
Sports Direct,1197831,8/5/2020,South,Texas,Houston,Women's Apparel,$40.00 ,650,"$260,000 ","$130,000 ",Operating Margin,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,$30.00 ,900,"$270,000 ","$94,500 ",Operating Margin,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,900,"$360,000 ","$126,000 ",Operating Margin,Outlet
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,725,"$253,750 ","$88,813 ",Operating Margin,Outlet
Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,625,"$250,000 ","$112,500 ",Operating Margin,Outlet
Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,$45.00 ,525,"$236,250 ","$70,875 ",Operating Margin,Outlet
Walmart,1197831,8/11/2020,South,Texas,Houston,Women's Apparel,$40.00 ,800,"$320,000 ","$160,000 ",Operating Margin,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,$30.00 ,925,"$277,500 ","$97,125 ",Operating Margin,Outlet
Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,925,"$370,000 ","$129,500 ",Operating Margin,Outlet
Walmart,1197831,8/14/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,775,"$271,250 ","$94,938 ",Operating Margin,Outlet
Walmart,1197831,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,700,"$280,000 ","$126,000 ",Operating Margin,Outlet
Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,$45.00 ,600,"$270,000 ","$81,000 ",Operating Margin,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,$40.00 ,950,"$380,000 ","$190,000 ",Operating Margin,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,950,"$380,000 ","$133,000 ",Operating Margin,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ","$149,625 ",Operating Margin,Outlet
Walmart,1197831,8/20/2020,South,Texas,Houston,Women's Street Footwear,$40.00 ,800,"$320,000 ","$112,000 ",Operating Margin,Outlet
Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,750,"$300,000 ","$135,000 ",Operating Margin,Outlet
Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$87,750 ",Operating Margin,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,$50.00 ,"1,000","$500,000 ","$250,000 ",Operating Margin,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,950,"$380,000 ","$133,000 ",Operating Margin,Outlet
Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ","$149,625 ",Operating Margin,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,$40.00 ,"1,100","$440,000 ","$154,000 ",Operating Margin,Outlet
Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,700,"$280,000 ","$126,000 ",Operating Margin,Outlet
Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,$45.00 ,700,"$315,000 ","$94,500 ",Operating Margin,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,$50.00 ,975,"$487,500 ","$243,750 ",Operating Margin,Outlet
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,925,"$370,000 ","$129,500 ",Operating Margin,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,925,"$416,250 ","$145,688 ",Operating Margin,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,$40.00 ,"1,100","$440,000 ","$154,000 ",Operating Margin,Outlet
Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,650,"$260,000 ","$117,000 ",Operating Margin,Outlet
Walmart,1197831,9/3/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$87,750 ",Operating Margin,Outlet
Walmart,1197831,9/4/2020,South,Texas,Houston,Women's Apparel,$50.00 ,900,"$450,000 ","$225,000 ",Operating Margin,Outlet
Walmart,1197831,9/5/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,850,"$382,500 ","$133,875 ",Operating Margin,Outlet
Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,850,"$382,500 ","$133,875 ",Operating Margin,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,900,"$450,000 ","$157,500 ",Operating Margin,Outlet
Walmart,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,625,"$312,500 ","$140,625 ",Operating Margin,Outlet
Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,$45.00 ,625,"$281,250 ","$84,375 ",Operating Margin,Outlet
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,$55.00 ,850,"$467,500 ","$233,750 ",Operating Margin,Outlet
Walmart,1197831,9/11/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,800,"$360,000 ","$126,000 ",Operating Margin,Outlet
Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,800,"$360,000 ","$126,000 ",Operating Margin,Outlet
Walmart,1197831,9/13/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,750,"$375,000 ","$131,250 ",Operating Margin,Outlet
Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,600,"$300,000 ","$135,000 ",Operating Margin,Outlet
Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,$45.00 ,575,"$258,750 ","$77,625 ",Operating Margin,Outlet
Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,$55.00 ,750,"$412,500 ","$206,250 ",Operating Margin,Outlet
Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,900,"$405,000 ","$141,750 ",Operating Margin,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,900,"$405,000 ","$141,750 ",Operating Margin,Outlet
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,825,"$412,500 ","$144,375 ",Operating Margin,Outlet
Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,675,"$337,500 ","$151,875 ",Operating Margin,Outlet
Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$87,750 ",Operating Margin,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,$55.00 ,850,"$467,500 ","$233,750 ",Operating Margin,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,950,"$427,500 ","$149,625 ",Operating Margin,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ","$149,625 ",Operating Margin,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,850,"$425,000 ","$148,750 ",Operating Margin,Outlet
Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,700,"$350,000 ","$157,500 ",Operating Margin,Outlet
Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$87,750 ",Operating Margin,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,$55.00 ,900,"$495,000 ","$247,500 ",Operating Margin,Outlet
West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,775,"$310,000 ","$108,500 ",Operating Margin,Outlet
West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,$50.00 ,775,"$387,500 ","$77,500 ",Operating Margin,Outlet
West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,775,"$387,500 ","$135,625 ",Operating Margin,Outlet
West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,625,"$312,500 ","$93,750 ",Operating Margin,Outlet
West Gear,1128299,11/5/2020,West,California,San Francisco,Men's Apparel,$55.00 ,575,"$316,250 ","$158,125 ",Operating Margin,Outlet
West Gear,1128299,11/6/2020,West,California,San Francisco,Women's Apparel,$50.00 ,775,"$387,500 ","$58,125 ",Operating Margin,Outlet
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,$40.00 ,825,"$330,000 ","$115,500 ",Operating Margin,Outlet
West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,$50.00 ,725,"$362,500 ","$72,500 ",Operating Margin,Outlet
West Gear,1128299,11/9/2020,West,California,San Francisco,Women's Street Footwear,$50.00 ,725,"$362,500 ","$126,875 ",Operating Margin,Outlet
West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,$50.00 ,575,"$287,500 ","$86,250 ",Operating Margin,Outlet
West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,$55.00 ,500,"$275,000 ","$137,500 ",Operating Margin,Outlet
West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,$50.00 ,700,"$350,000 ","$52,500 ",Operating Margin,Outlet
West Gear,1128299,11/13/2020,West,California,San Francisco,Men's Street Footwear,$50.00 ,850,"$425,000 ","$148,750 ",Operating Margin,Outlet
West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,$60.00 ,700,"$420,000 ","$84,000 ",Operating Margin,Outlet
West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,$60.00 ,700,"$420,000 ","$147,000 ",Operating Margin,Outlet
West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,600,"$360,000 ","$108,000 ",Operating Margin,Outlet
West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,$65.00 ,500,"$325,000 ","$162,500 ",Operating Margin,Outlet
West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,$60.00 ,700,"$420,000 ","$63,000 ",Operating Margin,Outlet
West Gear,1128299,12/25/2020,West,California,San Francisco,Men's Street Footwear,$60.00 ,875,"$525,000 ","$183,750 ",Operating Margin,Outlet
West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,675,"$438,750 ","$87,750 ",Operating Margin,Outlet
West Gear,1128299,12/27/2020,West,California,San Francisco,Women's Street Footwear,$65.00 ,725,"$471,250 ","$164,938 ",Operating Margin,Outlet
West Gear,1128299,12/28/2020,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,625,"$375,000 ","$112,500 ",Operating Margin,Outlet
West Gear,1128299,12/29/2020,West,California,San Francisco,Men's Apparel,$65.00 ,525,"$341,250 ","$170,625 ",Operating Margin,Outlet
West Gear,1128299,12/30/2020,West,California,San Francisco,Women's Apparel,$80.00 ,700,"$560,000 ","$84,000 ",Operating Margin,Outlet
West Gear,1128299,12/31/2020,West,California,San Francisco,Men's Street Footwear,$60.00 ,900,"$540,000 ","$216,000 ",Operating Margin,Outlet
West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,750,"$487,500 ","$121,875 ",Operating Margin,Outlet
West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,$65.00 ,750,"$487,500 ","$195,000 ",Operating Margin,Outlet
West Gear,1128299,1/3/2021,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,650,"$390,000 ","$136,500 ",Operating Margin,Outlet
West Gear,1128299,1/4/2021,West,California,San Francisco,Men's Apparel,$65.00 ,550,"$357,500 ","$196,625 ",Operating Margin,Outlet
West Gear,1128299,1/5/2021,West,California,San Francisco,Women's Apparel,$80.00 ,725,"$580,000 ","$116,000 ",Operating Margin,Outlet
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,$60.00 ,975,"$585,000 ","$234,000 ",Operating Margin,Outlet
West Gear,1128299,1/7/2021,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,825,"$536,250 ","$134,063 ",Operating Margin,Outlet
West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,$65.00 ,825,"$536,250 ","$214,500 ",Operating Margin,Outlet
West Gear,1128299,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,700,"$420,000 ","$147,000 ",Operating Margin,Outlet
West Gear,1128299,1/10/2021,West,California,San Francisco,Men's Apparel,$65.00 ,575,"$373,750 ","$205,563 ",Operating Margin,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,$80.00 ,875,"$700,000 ","$140,000 ",Operating Margin,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,$60.00 ,"1,025","$615,000 ","$215,250 ",Operating Margin,Outlet
West Gear,1128299,1/13/2021,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,875,"$568,750 ","$113,750 ",Operating Margin,Outlet
West Gear,1128299,1/14/2021,West,California,San Francisco,Women's Street Footwear,$65.00 ,825,"$536,250 ","$187,688 ",Operating Margin,Outlet
West Gear,1128299,1/15/2021,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,725,"$435,000 ","$130,500 ",Operating Margin,Outlet
West Gear,1128299,1/16/2021,West,California,San Francisco,Men's Apparel,$65.00 ,775,"$503,750 ","$251,875 ",Operating Margin,Outlet
West Gear,1128299,1/17/2021,West,California,San Francisco,Women's Apparel,$80.00 ,775,"$620,000 ","$93,000 ",Operating Margin,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,$65.00 ,975,"$633,750 ","$221,813 ",Operating Margin,Outlet
West Gear,1128299,1/19/2021,West,California,San Francisco,Men's Athletic Footwear,$70.00 ,925,"$647,500 ","$129,500 ",Operating Margin,Outlet
West Gear,1128299,1/20/2021,West,California,San Francisco,Women's Street Footwear,$65.00 ,800,"$520,000 ","$182,000 ",Operating Margin,Outlet
West Gear,1128299,1/21/2021,West,California,San Francisco,Women's Athletic Footwear,$65.00 ,750,"$487,500 ","$146,250 ",Operating Margin,Outlet
West Gear,1128299,1/22/2021,West,California,San Francisco,Men's Apparel,$75.00 ,750,"$562,500 ","$281,250 ",Operating Margin,Outlet
West Gear,1128299,1/23/2021,West,California,San Francisco,Women's Apparel,$80.00 ,725,"$580,000 ","$87,000 ",Operating Margin,Outlet
